question,answer,context
Give me a tip for a healthy working enviroment,internal promotions should not be an empty promise,"In a healthy working environment, people should be able to change positions, and internal promotions should not be an empty promise. If someone feels that he/she has accomplished everything in his/her current position, give them a chance to change even when they are not specialists in this new role. The knowledge they have from their past position is indispensable, and the learning gap will be the smallest possible. Plus, you keep an experienced professional within the company, and you invest in them. efood Marketing team have many examples of employees who changed positions or have been promoted, and efood Marketing team are happy about it."
Why healthy working environment matters?,"one of the main reasons behind loyalty,","Working in a healthy environment was one of the main reasons behind loyalty, according to the team. Loyalty is mandatory to build an efficient system. If your team members are changing all the time, there will be no time for the right onboarding, and there will be no interest in further optimization of the working process, which is reasonable."
What is your main framework for growth?,"Read, Learn, Test, Validate, Repeat","This is the main approach efood Marketing team use to work for performance marketing campaigns. It is a repeatable, non-bureaucratic (very important) data-driven process that can scale across all marketing channels (even those that are not performance-based) and helps us build on projects that deliver value. It is a popular method across modern marketing and growth hacking teams. This core concept of “Growth Engine” has been introduced by Brian Balfour."
What is your main framework for growth?,Growth engine by Brian Balfour,"This is the main approach efood Marketing team use to work for performance marketing campaigns. It is a repeatable, non-bureaucratic (very important) data-driven process that can scale across all marketing channels (even those that are not performance-based) and helps us build on projects that deliver value. It is a popular method across modern marketing and growth hacking teams. This core concept of “Growth Engine” has been introduced by Brian Balfour."
"What ""read"" means in the growth framework?",“Read” means that you have to check your data,"This is the first and most important step in the process. “Read” means that you have to check your data. In order to become user-centric, efood Marketing team worked hard and managed to build a foundation of user metrics and user feedback so that efood Marketing team could avoid our own personal and professional biases and focus solely on our user's needs. This was a decision that efood Marketing team made firstly as a business and secondly as a department and took months before it started working efficiently. efood Marketing team have a couple of sophisticated systems in place enabling us to have a comprehensive view of the impact of our efforts. Please note, considering yourself as “data-driven” does not necessarily mean that you evaluate everything with data."
"What ""read"" means in the growth framework?",have a comprehensive view of the impact of our efforts,"This is the first and most important step in the process. “Read” means that you have to check your data. In order to become user-centric, efood Marketing team worked hard and managed to build a foundation of user metrics and user feedback so that efood Marketing team could avoid our own personal and professional biases and focus solely on our user's needs. This was a decision that efood Marketing team made firstly as a business and secondly as a department and took months before it started working efficiently. efood Marketing team have a couple of sophisticated systems in place enabling us to have a comprehensive view of the impact of our efforts. Please note, considering yourself as “data-driven” does not necessarily mean that you evaluate everything with data."
What data driven means?,You understand which metric is relevant for each project,"You understand which metric is relevant for each project. Not all campaigns generate immediate conversions, and you need to be aware of that before you implement a campaign."
What data driven means?,You understand the business and its core metrics,You understand the business and its core metrics. Even if you are a brand marketer you need to know that YouTube views are not equal to conversions while cost per acquisition (CPA) matters for both branding and performance campaigns.
What data driven means?,Understand that you cant measure everything,"You can’t measure everything. Some projects can’t be measured, and even if you can somehow measure them, the metrics will be biased or not accurate. There is a massive trend of “measuring everything” in the business, but for us, that’s not the case, especially in offline and content marketing.  For example, efood Marketing team can’t measure the business impact of a Facebook like, at least in our industry. efood Marketing team can’t measure the impact of our participation in a marketing meetup of 20 people. efood Marketing team can’t measure the impact of our CSR campaigns in our business performance."
What data driven means?,understand how data is gathered and processed.,"Another issue is that you need to understand how data is gathered and processed. If you do not know how sessions work, what marketing attribution is, how Google Analytics processes hits, session, and user-level data, then you lack basic knowledge, and you are leaving insights and money on the table. efood Marketing team solved that by encouraging (politely forcing actually) everyone involved in the analysis to acquire the Google Analytics certification. Having everyone on the same page reduces the friction of analysis “translation” and enhances the feedback loop for every analysis regardless of the channel since Google Analytics data can act as the single source of truth."
What data driven means?,Know what occams razor is,"Moreover, efood Marketing team always face the problem of “how much is too much”, which is similar to Occam’s Razor principle. A generic conversion rate is a useful and simple metric to monitor, but it hides painful areas that have a relatively low conversion rate. For example, you may have had a 30% conversion rate yesterday but if you wanted to understand how this metric was calculated you would realize that;"
Provide me a segmentation example,campaigns per marketing channel,"Your non-brand campaigns had a 5% conversion rate, Your new visitor campaigns had a 2% conversion rate, Your direct visits had a 50% conversion rate, All the above combined is the 30% conversion rate that you see in your overview dashboards. Checking only top-level metrics is misleading, and you may miss potential opportunities and threats that lie within segments. To solve this one, efood Marketing team defined the meaningful dimensions and the level of depth that efood Marketing team need to check for our business and decided not to segment further than those dimensions. There are about 500 data points to check, which is a big number, but it is relatively small compared to the whole set of data points available."
Give me an example of being data driven,Build an anomaly detection tool for your data,"Lately, efood Marketing team have decided to build an anomaly detection tool. Instead of visiting our analytics platform and checking our dashboards, efood Marketing team created an automated tool that works like this: Firstly, every 4 hours, it collects all data points that efood Marketing team are interested in -both qualitative and quantitative data- and creates a data table. Then efood Marketing team use machine learning algorithms and statistical regression methods to calculate and forecast the right value for each data point according to one-year past performance. So after that, efood Marketing team have two tables of data, one with the actual ones and one with the forecasted. The tool compares those data, and whenever there is a big difference between actual data and forecasted data, efood Marketing team get a Slack notification that informs us about this specific anomaly. This tool is handy and allows us to expand our knowledge and check for insights that efood Marketing team couldn’t have identified by doing the same analysis manually."
Give me an example of being data driven,Switch our name from e-food to efood,"Being data-driven is not a privilege only of performance marketers. Lately, efood Marketing team have taken a big rebranding initiative by changing our logo and our brand name from “e-food” to “efood”. This rebranding was part of our strategic plan, and efood Marketing team did it for a lot of reasons, but one of them was that efood Marketing team identified that this specific keyword (“efood”) had a good performance and positive trend in comparison to our current name (“e-food”) in our search engine marketing results."
What is the second step in Balfour's growth engine?,Second step is learn or understanding the problem/opportunity,"This is the second step and it can be translated as “understanding the problem/opportunity.” This step needs creativity, observation, and anticipation. Once efood Marketing team have “read” the insights, efood Marketing team need to understand what happened and plan our next steps accordingly. efood Marketing team know how users came to our product (thanks to analytics), where they landed, and what pages they navigated along with their exit pages, but efood Marketing team are missing something. efood Marketing team are missing the why."
"What ""learn"" requires?",requires understanding the context for each specific occasion,Understanding the why requires understanding the context for each specific occasion. This is tricky because not every incident is 100% marketing related. This is something that occurs in most of the marketplace businesses due to the nature of the industry. Here are some examples:
Give me an example of understangin the context,an attractive offer promotion from a specific burger restaurant,"Here is the case of a project for which efood Marketing team had to promote an attractive offer from a specific burger restaurant (15% of our total burger sales). efood Marketing team strongly promoted that offer, but it ended up having poor performance. efood Marketing team tried to replicate the flow on our product, and efood Marketing team found a problem: The offer was a €5 burger deal while the restaurant had a €7 minimum order value, so users were not able to order this deal solely, but had to order more to validate the minimum order value. So the offer was great, but efood Marketing team did not take care of the whole user journey before closing the deal and launching the campaign."
Give me an example of understangin the context,a very successful promotional campaign team launched with a specific restaurant chain,"Another example is a very successful promotional campaign efood Marketing team launched with a specific restaurant chain. efood Marketing team created and promoted very attractive food deals with 40 restaurants of a particular chain for ten days. During the campaign, efood Marketing team identified that performance dropped unexpectedly in irregular hours within the day for no specific reason. efood Marketing team checked the user reviews, efood Marketing team checked the conversion of the restaurant pages, and everything was okay. After hours of checking, efood Marketing team found out that some of the restaurants turned off their applications within the day because they couldn’t handle the order volume. Sometimes they turned it off for half an hour and sometimes for a couple of hours. This was very difficult to monitor because efood Marketing team have more than six thousand restaurants and multiple offers that are promoted simultaneously. efood Marketing team found the problem after checking what users had written in the live chat feature that efood Marketing team have on our platform. There were three users mentioning it."
Give me some data,more than five hundred live chat logs per day., team have more than five hundred live chat logs per day.
Give me an example of understangin the context,affected the URLs that efood Marketing team used in our campaigns,"Here is another interesting example when the performance of a bunch of campaigns dropped significantly without having made any change in campaign settings. efood Marketing team did a deep dive into the performance of our campaigns, but efood Marketing team did not find anything that could explain such a significant drop. After that, efood Marketing team collaborated with the Product team to check if something had changed, but still, there was no significant change made. Not until efood Marketing team checked the releases of the core platform of the Tech team did efood Marketing team find that they had made a change that affected the URLs that efood Marketing team used in our campaigns. Although this sounds like a complicated situation, the more efood Marketing team “learn” and solve problems like this, the better efood Marketing team become and the faster and more efficiently efood Marketing team solve such problems. To tackle this problem, efood Marketing team created a file that includes all the releases of the Tech and Product team so that efood Marketing team have all the releases and their notes in place in case efood Marketing team need to check them."
Give me an example of understangin the context,learned how to spot seasonality periods the hard way,"Understanding the context of every occasion helped us identify seasonality periods as well. Since our industry and business were relatively new, and our user base was growing, efood Marketing team learned how to spot seasonality periods the hard way. Konstantinos remember ourselves scratching our heads, trying to understand why performance dropped until efood Marketing team found the patterns of these periods, which are repeatable. Here is a pattern of one marketing channel:"
Give me an example of understangin the context,“apples versus oranges” syndrome,"Let’s share a marketing-related example. Some time ago, efood Marketing team had a slight increase in sessions and a significant drop in the conversion rate of the “direct” traffic source in analytics. Since the drop was in direct traffic, there was no connection with our advertising efforts, so efood Marketing team started segmenting the data to get a better understanding. efood Marketing team checked everything, user type, devices, landing pages, but there was nothing significant to identify. As soon as efood Marketing team checked the cities’ performance, efood Marketing team found that the performance drop happened in two cities in which efood Marketing team had active PR campaigns. So after many hours of analysis, efood Marketing team realized that the drop occurred because the websites that efood Marketing team collaborated with for the PR campaigns forgot to pass UTM’s on the promoted links. That’s why the conversion rate was relatively low. Actually, it was not low. It was the typical performance of every PR campaign efood Marketing team did. The problem was that efood Marketing team compared it with our direct traffic. efood Marketing team call it the “apples versus oranges” syndrome, and it’s a common syndrome, especially for stakeholders or marketers who don’t understand that marketing sources are not the same."
Give me additional Interesting Agile Marketing Principles,Testing and data over opinions and conventions,- Testing and data over opinions and conventions
Give me additional Interesting Agile Marketing Principles,Responding to change over following a plan,- Responding to change over following a plan
Give me additional Interesting Agile Marketing Principles,Follow long term strategy even if it is against short term profits,- Follow long term strategy even if it is against short term profits
Give me additional Interesting Agile Marketing Principles,Good enough is better than perfect,- Good enough is better than perfect
Give me additional Interesting Agile Marketing Principles,"Patience for long term strategy, speed for short term implementation","- Patience for long term strategy, speed for short term implementation"
Give me additional Interesting Agile Marketing Principles,Solve for global maxima,Solve for global maxima
"What is the ""test"" step in growth engine?",test the solutions that you have come up with,"The third step is to test the solutions that you have come up with. This can be an A/B test, a split campaign test, a user testing session, etc. Testing is a science by itself. efood Marketing team feel that sometimes testing and experimentation are a little overrated at least in our industry (after more than 100 tests efood Marketing team are not even close to analyze how an A/B test in an ad copy can produce tons of additional orders), but efood Marketing team find value in it and use a couple of testing approaches to cover all our needs. What efood Marketing team do involves:"
Provide me a test example,Split testing in SEM,"Split testing in SEM 
We split paid search traffic into different landing pages, while efood Marketing team compare conversion rates, cost per conversion and abandonment rates. The majority of the traffic is sent to the best performing landing page."
Provide me a test example,Optimization testing on display campaigns,"Optimization testing on display campaigns
We upload five to eight banners in every display campaign, and after it has run for a couple of days, efood Marketing team keep only the ones that have better performance according to the campaign objectives."
Provide me a test example,Copy testing,"Copy testing 
Every marketer should be a competent copywriter, or at least try to. efood Marketing team use copy almost everywhere, from CRM campaigns to push notifications, search ads, display ads, app store, etc. efood Marketing team test almost all our copies and keep only those that have the best performance, focusing mostly on clickthrough rates."
Provide me a test example,Bidding testing,"Bidding testing 
Testing bidding methods and bids in specific keywords is something that every performance marketer in search engine and display marketing should do. Some keywords generate great conversion rates, while others generate poor performance. efood Marketing team need to make sure that our budget is well spent."
Provide me a test example,Targeting testing,"Targeting testing
We do that especially for our “cold” marketing campaigns. A cold campaign is targeting users that have never visited your website before. By adding or removing user interests in campaign settings, you will be able to harness the targeting power of advertising platforms and unlock new audiences."
Provide me a test example,A/B testing,"A/B testing on our website
This approach is widespread in the Product industry. efood Marketing team create two or three website page variations, and efood Marketing team serve them in different user samples while efood Marketing team benchmark the performance of each variation. The variation with the best performance (and statistical significance) wins and is applied to our website so all users can see only this one."
Provide me a test example,no test” strategy,"Another testing strategy efood Marketing team use is the “no test” strategy. Some projects require testing, while others, efood Marketing team call them “JFDI” or “Just fucking do it,” don’t. Applying testing techniques in digital campaigns is highly recommended, but you need to be careful because testing adds more complexity and implementation time."
Provide me a test example,offline marketing testing,"Also, testing in offline marketing projects is complicated. You can test two different offline banner variations to two different events, but how can you measure the effectiveness of each one? As you can understand, many of our offline projects are JFDIs."
"What is the step ""validate' in Growth engine?",validation of proposed solutions,"This step is dedicated to the validation of proposed solutions. For validation, efood Marketing team mostly use data performance, wherever applied, or our experience in the business. efood Marketing team use a wide range of validation techniques, from statistical significance indicators to plain positive performance results or user testing insights."
Why validation is tricky?,"many of our A/B tests in the product are not successful, but they neither fail","The most common validation check for website A/B testing is to have a representative user sample in place and results with statistical significance around 90% - 95%. Based on this, many of our A/B tests in the product are not successful, but they neither fail. There are tests that efood Marketing team have implemented, even though they were not successful, because efood Marketing team needed to make that change. For example, when efood Marketing team tested our cookie banner for GDPR, none of the variations produced statistically significant results, so efood Marketing team needed to revamp our cookie banner. So, efood Marketing team selected our favorite one and launched it live. A/B testing evaluation can be used as a health check as well for changes that have to be made and efood Marketing team need to make sure that user behavior will not be affected negatively."
Why validation is tricky?,statistical significance of 90% or more is debatable as well,"Besides that, the statistical significance of 90% or more is debatable as well. In an Amazon’s letter to stakeholders, Jeff Bezos coined the term “high-velocity decisions.” This means that most of the decisions should probably be made with somewhere around 70% of the information you wish you had. If you wait for 90% in most cases you are probably slow. This is true when you create your user sample as well. Let’s say that efood Marketing team need to do an A/B test in 10% of our users."
Why validation is tricky?,not all statistical methods generate the same results,"Last but not least, not all statistical methods generate the same results. efood Marketing team had a very interesting A/B test on our homepage, which produced positive results with statistical significance using our default evaluation method, which is the frequentist approach. But then, after participating in an international CRO (conversion rate optimization) conference, efood Marketing team decided to check the Bayesian approach as well, because, as experts claimed, it could be beneficial. When efood Marketing team re-evaluated that test, the results were not the same. efood Marketing team re-evaluated all of our tests, and many of them produced no significant or even negative results! The solution to this problem was the creation of a framework that would calculate the significance of an A/B test, via  either the frequentist or Bayesian approach, based on the size and the importance of the test."
Why validation is tricky?,team should optimize for the right metric,"Another interesting validation concept is that efood Marketing team always make sure that efood Marketing team are optimizing the right metric. Sometimes this can be tricky because other correlated metrics may have negative performance. efood Marketing team have faced this in display advertising campaigns many times. Some ads generate great engagement but few online orders even though the campaign objective is about conversions. Also, some ads generate many reorders but few user acquisitions, while others generate app installs but few user signups. efood Marketing team need to make sure that efood Marketing team allocate the budget wisely for every campaign objective and stop or amplify campaigns based on our strategy and targets."
Provide me an interestig example,There is no “one size fits all” strategy for campaign optimization,"There is no “one size fits all” strategy for campaign optimization and validation thought. Here is an interesting example. Since efood Marketing team are an online delivery platform, our partners are restaurants. Users search for restaurants all the time. Restaurants operate according to a specific schedule. This means that there are many occasions in which users search for a restaurant, click on an ad, land on the restaurant’s page, but the restaurant is closed, so they are unable to order at that time. As a result, campaign performance when restaurants are closed is poor. When efood Marketing team checked those campaigns, efood Marketing team identified their poor performance and some of the marketers said that efood Marketing team should pause the campaigns when the restaurant was closed and restart them by the time the restaurant opened. This sounds reasonable, and it would optimize the performance of the campaign while it would optimize our budget spent as well. efood Marketing team decided to keep the campaigns live, though. efood Marketing team made this decision based on the marketing source. Since the users were searching for a restaurant, this means that they had the intention to order from this specific restaurant, which actually means that they were hungry. So the intention was real, thus, efood Marketing team should keep the campaigns live and bring the hungry users within our platform even though the restaurant they want is closed. efood Marketing team collaborated with the Product team and efood Marketing team implemented a solution according to which the user that would land on a closed restaurant would be able to view suggested restaurants in his/her area that were open and had a similar menu with the restaurant he/she had searched for in the first place. The solution worked! Although the results could not be compared with campaigns of other live restaurants, which is reasonable, the campaigns generated incremental orders that otherwise would have been lost. Can you guess the right metric for those campaigns? If you guessed “closed restaurants conversion rate” then you guessed right!"
Provide me an example about data driven approach,Solving problems for Business Maxima rather than Marketing Maxima,"Also, not all metrics are the same. There are business-related metrics, engagement metrics, reach metrics, etc. As the Marketing department, efood Marketing team should try to optimize ALL metrics relevant to users and partners. However, efood Marketing team don’t. efood Marketing team prefer to focus on areas that increase conversions and customer satisfaction. So, although efood Marketing team love and efood Marketing team do have plenty of engagement traction, efood Marketing team mainly focus on improving “hard” metrics (conversions, acquisitions, etc.) rather than “soft” metrics (Facebook likes, cost per like, etc.). Solving problems for Business Maxima rather than Marketing Maxima is a mindset that helped us avoid distractions of marketing trends or fancy competitor campaigns and stay focused on our mission."
Provide me an example about data driven approach,stay focused on things that matter rather than trends or other vanity metrics,"The impact of solving user problems generates revenue for our business and happiness for our users. It is essential to stay focused on things that matter rather than trends or other vanity metrics. In their book “Connected,” Christakis and Fowler inform us that everyone belongs to a social network. An example of a social network could be a family, a school class, a football team, your personal network, etc. However, the influence of each network member is not equal. The influence of each one is highly correlated with the position of each individual and how close everyone is to the core of the network. The more efood Marketing team place the Marketing department at the center of our social network, the more important efood Marketing team become. Imagine that a company is a network as well. The closer you are in the core of the business (revenue), the bigger the influence you have. Focusing on impactful projects, efood Marketing team increased the reputation of our department and the delivered value for our company."
"What is the last step ""Repeat"" of Growth engine?",to replicate every success you had,"
The final step is to replicate every success you had and digest the lessons you learned from the previous steps."
Give me a lesson you learn and you dont repeat,testing small stuff does not provide significant results,"We learned that testing small stuff does not provide significant results, at least not in our industry, so efood Marketing team avoid doing tests for the test’s sake. efood Marketing team learned that efood Marketing team need to understand our business; otherwise, efood Marketing team will have internal conflicts even if efood Marketing team are data-driven. efood Marketing team learned to accept the truth, even if the marketing channel efood Marketing team handle is not the best performing channel. Every channel serves a different purpose and every channel has different metrics for validation. Display campaigns are better for retention and retargeting, even though the conversion rate is not the best one across channels. Coupons are an effective marketing channel that requires sensitive handling to avoid cannibalization and abusive behaviors. efood Marketing team learned that doing tests in high-seasonality periods produce biased results. efood Marketing team can’t expect great results for an ice-cream campaign launched in winter, and efood Marketing team can’t expect high retention results from tests that efood Marketing team do in low-retention periods."
Give me a lesson you lear and repeat,team re-launch campaigns that worked very wel,"Finally, efood Marketing team re-launch campaigns that worked very well; for instance, the Foodiversity campaign. Foodiversity is a campaign that efood Marketing team do for students and includes a gamification system that encourages users to order more, to participate in exclusive giveaways and customized perks. After its successful launch, efood Marketing team re-launched it the following year and it again generated positive results. efood Marketing team are proud of our video content strategy. Our channel is one of the biggest branded channels in our country in the most popular video platform. Here is how efood Marketing team used the Growth engine above to optimize our video content performance:"
Give me an example of full growth engine framework,YouTube channel optimization,"Read: YouTube analytics provides rich engagement data to get a grasp of your video performance. efood Marketing team used a mix of behavioral and business metrics. Since video views is not a “business” metric, efood Marketing team added Exit Poll data in our data mix to get a better understanding of how videos affected users to order more. Since efood Marketing team wanted to increase the traction of our videos, efood Marketing team allocated marketing budget to advertise the best videos. Learn: By analyzing the data, efood Marketing team identified which videos attracted more users that match our target audience (young people with specific interests) and which part of our videos was more compelling to them. Also, efood Marketing team realized that creating videos in collaboration with a specific influencer generated more views and positive comments than others. Moreover, our ads generated below average view rate, so efood Marketing team decided to allocate more budget on video creation rather than video promotion. This is reasonable because efood Marketing team wanted to do more videos with this specific influencer (so efood Marketing team needed to pay more), and the organic reach of YouTube was very good. Test: We created new videos based on the lessons efood Marketing team had from data and current video trends. efood Marketing team tested positions for our main call to action (the subscribe button), efood Marketing team tested the time duration of the videos, video background, collaboration with additional influencers, creating behind the scenes videos, showing relevant video ads to users that had already seen a video, etc. Validate: For validation, efood Marketing team mostly used data such us drop-off rates, organic views, like-dislike ratio, view rate, and daily Exit Poll trends. Repeat: We repeated the lessons that efood Marketing team had learned, and four years later and more than 300 videos, the results are great. This is not an overnight success but a consistent optimization framework that was based on our strategy to invest in video content."
"Give me an actual example of ""read"" step",YouTube channel optimization,"Read: YouTube analytics provides rich engagement data to get a grasp of your video performance. efood Marketing team used a mix of behavioral and business metrics. Since video views is not a “business” metric, efood Marketing team added Exit Poll data in our data mix to get a better understanding of how videos affected users to order more. Since efood Marketing team wanted to increase the traction of our videos, efood Marketing team allocated marketing budget to advertise the best videos."
"Give me an actual example of ""learn"" step","Learn By analyzing the data,","Learn: By analyzing the data, efood Marketing team identified which videos attracted more users that match our target audience (young people with specific interests) and which part of our videos was more compelling to them. Also, efood Marketing team realized that creating videos in collaboration with a specific influencer generated more views and positive comments than others. Moreover, our ads generated below average view rate, so efood Marketing team decided to allocate more budget on video creation rather than video promotion. This is reasonable because efood Marketing team wanted to do more videos with this specific influencer (so efood Marketing team needed to pay more), and the organic reach of YouTube was very good."
"Give me an actual example of ""test"" step",Test We created new videos,"Test: We created new videos based on the lessons efood Marketing team had from data and current video trends. efood Marketing team tested positions for our main call to action (the subscribe button), efood Marketing team tested the time duration of the videos, video background, collaboration with additional influencers, creating behind the scenes videos, showing relevant video ads to users that had already seen a video, etc."
"Give me an actual example of ""validate"" step","Validate For validation, efood Marketing","Validate: For validation, efood Marketing team mostly used data such us drop-off rates, organic views, like-dislike ratio, view rate, and daily Exit Poll trends."
"Give me an actual example of ""repeat"" step",Repeat We repeated the lessons,"Repeat: We repeated the lessons that efood Marketing team had learned, and four years later and more than 300 videos, the results are great. This is not an overnight success but a consistent optimization framework that was based on our strategy to invest in video content."
What is Nero?,Nero is our own Agile framework,"Nero is our own Agile framework. It is based on the Scrum Nexus methodology, which efood Marketing team used before Nero. Most of its events and rules preexisted in other working frameworks such as Scrum or Kanban or even Waterfall. efood Marketing team were also inspired by the philosophy of Toyota and the book “The Toyota Way” by Jeffrey Liker. Nero is a ‘mix and match’ framework that is tailored to our specific needs and context."
Where Nero is based?,It is based on the Scrum Nexus methodology,"Nero is our own Agile framework. It is based on the Scrum Nexus methodology, which efood Marketing team used before Nero. Most of its events and rules preexisted in other working frameworks such as Scrum or Kanban or even Waterfall. efood Marketing team were also inspired by the philosophy of Toyota and the book “The Toyota Way” by Jeffrey Liker. Nero is a ‘mix and match’ framework that is tailored to our specific needs and context."
What Nero is?,Nero is a ‘mix and match’ framework that is tailored to our specific needs and context.,"Nero is our own Agile framework. It is based on the Scrum Nexus methodology, which efood Marketing team used before Nero. Most of its events and rules preexisted in other working frameworks such as Scrum or Kanban or even Waterfall. efood Marketing team were also inspired by the philosophy of Toyota and the book “The Toyota Way” by Jeffrey Liker. Nero is a ‘mix and match’ framework that is tailored to our specific needs and context."
Why you abandoned Scrum?,it was not suitable for our current needs,"Although efood Marketing team liked Scrum, it was not suitable for our current needs as a Marketing team, and there was no prior known Agile Marketing working process (at least a popular one). Hence, efood Marketing team created Nero. Scrum was designed to handle complex IT problems, and it was quite “heavy” since it has many processes that provide little or no value for us. Building a digital platform is (still) more complicated than creating a digital marketing campaign. Moreover, there is a problem in Marketing that is not present in IT, and that is the projected performance for each campaign, which most of the time is not predictable. Since efood Marketing team agreed to define our increment not only in terms of delivered projects but also of delivered value, efood Marketing team have to deal with uncertainty. Uncertainty, though, is our primary driver for more iterations. The more efood Marketing team iterate on a digital campaign, the more predictable the performance is. efood Marketing team could merely keep our Agile principles and work in that way. However, efood Marketing team decided to adjust it and create a repeatable Agile working framework that can scale to more members and more projects."
Why Nero helped you?,"The better we responded to changes, the better the outcomes","The better efood Marketing team responded to changes, the better the outcomes efood Marketing team generated. Let’s say that a weekly sprint full of campaign optimization has ended. You check the performance of this week, and you realize that it has dropped. The first action that anyone would do is to analyze in order to understand why there is a decrease and how he/she can fix it. Now imagine that performance rocked. What would you do? Would you make an analysis again (like in the previous situation), or just assume that all the changes you did worked and start celebrating? Most of the time, efood Marketing team follow the second approach. efood Marketing team celebrate! Celebration is great, but there are times that it is not the best idea because there may be external phenomena that have positively affected the performance, but you aren’t aware of them. A nice example is the weather change. By checking the best performing weeks with other various external sources, efood Marketing team identified a correlation between temperature fall and marketing performance, so efood Marketing team re-allocated the budget of marketing channels during the winter period, and every time efood Marketing team are aware of a low-temperature report, efood Marketing team increase our bids, a strategy that leads to increased performance as well."
Give me an example of fast implementation,PokemonGo campaign,"Another example is the PokemonGo trend. It came out of nowhere and went viral fast. Instead of ignoring it or planning to do something huge efood Marketing team tried to utilize it as fast as efood Marketing team could. efood Marketing team created an offline event tournament in the center of Athens that generated massive brand awareness and positive performance outcomes (getting new users to use our platform). PokemonGo has never been part of our planning, but efood Marketing team saw the opportunity and seized it within a week."
How do you plan?,team don’t plan a year ahead,"We are fans of short-term plans and long-term visions. efood Marketing team don’t plan a year ahead. efood Marketing team go as far as planning our next three months carefully, using the OKRs methodology, and prepare a top-level overview of the next six months. There is no reason to create a more extended plan since efood Marketing team know from past experiences that efood Marketing team won’t follow it. This is one big difference between the Marketing and IT team. Technical projects may need one or two years of implementation, while marketing projects are, most of the time, quicker and smaller. The most time-consuming projects for us are TV ads, for which efood Marketing team need three months of execution, but this happens mostly due to the external dependencies efood Marketing team have since efood Marketing team outsource TV advertisement development. Modern Marketing planning happens in cycles and iterations on existing successful campaigns, so an Agile framework is more than mandatory."
How do you plan?,We like of short-term plans and long-term visions,"We are fans of short-term plans and long-term visions. efood Marketing team don’t plan a year ahead. efood Marketing team go as far as planning our next three months carefully, using the OKRs methodology, and prepare a top-level overview of the next six months. There is no reason to create a more extended plan since efood Marketing team know from past experiences that efood Marketing team won’t follow it. This is one big difference between the Marketing and IT team. Technical projects may need one or two years of implementation, while marketing projects are, most of the time, quicker and smaller. The most time-consuming projects for us are TV ads, for which efood Marketing team need three months of execution, but this happens mostly due to the external dependencies efood Marketing team have since efood Marketing team outsource TV advertisement development. Modern Marketing planning happens in cycles and iterations on existing successful campaigns, so an Agile framework is more than mandatory."
How do you plan?,We use OKRs,"OKR stands for Objective and Key Results. OKRs is a popular method that Google uses and they are the primary input for our Marketing department goals setting. They mostly include our biggest initiatives and are highly correlated with our performance increment. You can read John Doerr’s book “Measure what matters” if you want a detailed explanation. efood Marketing team plan our OKRs every three months, and the general rules that efood Marketing team set for them are:"
What are some OKR tips?,Attainable within a three-months,"Attainable for completion within a three-month period
It’s unreasonable to plan for the next three months and include a project that needs six months of implementation. It takes time to realize your personal and team’s velocity and understand what is attainable and what is not. There are times when efood Marketing team have bigger projects. So efood Marketing team create a mini three-month-long version of the project, and if it is successful, efood Marketing team proceed with the next phase."
Give me an OKR example,elevant example is a vast campaign called “Local offers initiative.,"A relevant example is a vast campaign called “Local offers initiative.” efood Marketing team target specific small cities and along with the Sales and Product department, efood Marketing team provide lucrative offers to our users. Taking into consideration that efood Marketing team have more than 5K restaurants and around 20 cities that are strong candidates, the whole campaign would have taken at least two years to be fully implemented. So efood Marketing team created a mini version of it. The first step was to create a small test campaign that can be achieved within a specific amount of time (less than three months) with all the necessary steps but targeting only two cities. efood Marketing team added it to our quarterly OKRs, and efood Marketing team quickly ran the campaign to launch it in time."
What are some OKR tips?,Valuable enough,"Valuable enough
To increase our performance, efood Marketing team must ensure that our OKRs are valuable enough and have a positive impact on our performance and business growth. An excellent way to do that is to avoid “fancy” projects and implement mostly initiatives that are correlated with our user's needs. Value can be found everywhere, but efood Marketing team have a ton of user feedback and performance data that can lead us to the desired projects. Konstantinos remember our strong resistance to heavily invest in marketing bots when they were officially introduced as a functionality last year. Many big players tried it, but no one managed to generate traction. This led us not to waste time on something that is not valuable enough and focus on projects that matter."
